基金代码,基金简称,基金类型,资产规模(亿),基金管理人,基金净值,基金经理(最近连续最长任职),基金经理的上任时间,近三年标准差,近三年夏普,近三年涨幅,近五年涨幅
020373,中欧中债0-3年政金债指数C,指数型-固收,0.00,中欧基金,1.0206,周锦程,2024-01-24,None,None,None,None
000377,摩根双债增利债券A,债券型-混合二级,1.37,摩根资产管理,1.0205,陈圆明,2021-09-24,6.12%,-0.44,-3.53%,3.26%
872027,广发资管多添利六个月持有期债券A,债券型-混合二级,0.03,广发资产管理,1.0205,骆霖苇,2024-04-09,None,None,None,None
019490,景顺长城景泰通利纯债C,债券型-长债,0.08,景顺长城基金,1.0205,陈健宾,2023-12-13,None,None,None,None
009594,国泰中债1-3年国开债C,指数型-固收,0.00,国泰基金,1.0204,王玉,2020-08-27,1.21%,1.83,11.57%,None
005408,华夏鼎泰六个月定开债C,债券型-长债,0.00,华夏基金,1.0204,柳万军,2018-04-13,None,None,None,None
970205,兴证资管金麒麟兴享增利六个月持有期债券C,债券型-混合二级,0.00,兴证资管,1.0204,吕晓威,2022-11-07,None,None,None,None
018610,兴证全球中证同业存单AAA指数7天持有,指数型-固收,9.32,兴证全球基金,1.0204,王健,2023-09-11,None,None,None,None
018640,华安沣润债券A,债券型-混合二级,1.49,华安基金,1.0204,吴文明,2023-09-25,None,None,None,None
002074,圆信永丰兴融C,债券型-长债,0.04,圆信永丰基金,1.0203,林铮,2016-04-11,0.69%,3.91,13.09%,25.51%
008959,创金合信恒利超短债债券E,债券型-中短债,10.66,创金合信基金,1.0203,谢创,2020-02-04,0.28%,5.02,9.01%,None
013625,嘉实价值创造三年持有期混合C,混合型-偏股,0.68,嘉实基金,1.0203,谭丽,2022-03-02,None,None,None,None
014384,国投瑞银顺腾一年定开债发起式,债券型-长债,10.23,国投瑞银基金,1.0203,宋璐,2022-06-09,None,None,None,None
008268,国泰添瑞一年定开债,债券型-长债,9.10,国泰基金,1.0203,魏伟,2023-05-25,0.84%,3.45,13.81%,None
013588,工银稳健瑞盈一年持有债券A,债券型-混合二级,7.58,工银瑞信基金,1.0203,庄园,2023-07-25,None,None,None,None
016752,中信建投景信债券A,债券型-长债,10.02,中信建投基金,1.0203,杨龙龙,2023-11-27,None,None,None,None
012632,天治鑫祥利率债债券A,债券型-长债,5.01,天治基金,1.0203,郝杰,2023-07-10,None,None,None,None
009577,上银聚永益一年定开债券,债券型-长债,50.88,上银基金,1.0202,楼昕宇,2021-06-15,None,None,13.55%,None
012114,融通稳健增长一年持有期混合C,混合型-偏债,0.05,融通基金,1.0202,余志勇,2021-09-16,None,None,None,None
014657,中欧融享增益一年持有期混合A,混合型-偏债,4.03,中欧基金,1.0202,华李成,2022-01-25,None,None,None,None
015108,中泰安益利率债A,债券型-长债,19.81,中泰证券(上海)资管,1.0202,蔡凤仪,2022-04-26,None,None,None,None
016956,国联恒润纯债C,债券型-长债,0.00,国联基金,1.0202,杨宇俊,2024-04-09,None,None,None,None
004226,国寿安保稳诚混合C,混合型-偏债,0.13,国寿安保基金,1.0201,吴坚,2019-01-09,3.21%,-0.18,2.75%,26.55%
005287,海富通创业板增强C,指数型-股票,0.80,海富通基金,1.0201,杜晓海,2018-04-09,21.24%,-0.75,-37.21%,37.38%
016656,汇丰晋信丰宁三个月定开债券A,债券型-长债,3.54,汇丰晋信基金,1.0201,蔡若林,2022-12-20,None,None,None,None
018740,国投瑞银恒源30天持有期债券C,债券型-长债,0.00,国投瑞银基金,1.0201,王侃,2023-11-22,None,None,None,None
020223,创金合信利元纯债债券C,债券型-长债,0.00,创金合信基金,1.0201,王一兵,2023-12-26,None,None,None,None
160129,南方金利定开债(LOF)C,债券型-长债,0.45,南方基金,1.0200,李璇,2012-05-17,1.52%,2.09,14.74%,26.38%
070001,嘉实成长收益混合A,混合型-偏股,15.75,嘉实基金,1.0200,胡涛,2019-11-19,17.80%,-1.28,-51.33%,-12.55%
233009,大摩多因子策略混合,混合型-偏股,5.63,摩根士丹利基金,1.0200,余斌,2019-08-20,19.12%,-0.72,-32.27%,20.54%
001178,前海开源再融资股票,股票型,5.21,前海开源基金,1.0200,邱杰,2015-05-18,24.33%,-0.57,-32.45%,-4.88%
006506,永赢祥益债券C,债券型-长债,0.00,永赢基金,1.0200,牟琼屿,2018-10-12,0.54%,3.67,10.87%,17.96%
